说明,本表为 demo 玩法验证的数值初稿；标注[PLACEHOLDER]者均需 playtest 后调整；[基准]为逻辑必需值
类别,项目,参数,数值,说明/rationale,状态
客人,普通旅人,房费倍率,1.0,基准房价,[基准]
客人,普通旅人,耐心,30s,等待分配房间超时则离场,[PLACEHOLDER]
客人,普通旅人,需求,通衢（无特殊家具）,任意有床房间即可,[基准]
客人,文人,房费倍率,1.3,愿为静修房加价,[PLACEHOLDER]
客人,文人,耐心,20s,更挑剔、超时易走,[PLACEHOLDER]
客人,文人,需求,静修房,无则差评并离场扣钱,[基准]
客人,侠客,房费倍率,1.4,愿为兵器房加价,[PLACEHOLDER]
客人,侠客,耐心,25s,中等,[PLACEHOLDER]
客人,侠客,需求,兵器房,无则不满（可能闹事扣分）,[基准]
家具,床,占格,2,1×2 格子,[PLACEHOLDER]
家具,床,价格,20,低价基础件,[PLACEHOLDER]
家具,床,效果,提供住宿,所有住宿客都需要床,[基准]
家具,屏风,占格,1,1×1,[PLACEHOLDER]
家具,屏风,价格,35,中价,[PLACEHOLDER]
家具,屏风,效果,静修标签条件之一,满足文人需求,[基准]
家具,兵器架,占格,1,1×1,[PLACEHOLDER]
家具,兵器架,价格,35,中价,[PLACEHOLDER]
家具,兵器架,效果,兵器标签,满足侠客需求,[基准]
家具,灶台,占格,2,1×2,[PLACEHOLDER]
家具,灶台,价格,60,高价,[PLACEHOLDER]
家具,灶台,效果,解锁烹饪（餐饮收入）,无灶台则不可售餐,[基准]
家具,桌椅,占格,1,1×1 或 1×2,[PLACEHOLDER]
家具,桌椅,价格,15,低价,[PLACEHOLDER]
家具,桌椅,效果,用餐位（餐饮收入）,配合灶台产生餐饮收入,[基准]
标签,通衢,达成条件,无特殊家具,普通旅人适用,[基准]
标签,静修,达成条件,屏风+距大堂≥N格,文人适用；不满足则差评,[PLACEHOLDER]N
标签,兵器,达成条件,兵器架,侠客适用；不满足则不满,[基准]
需求对照,普通旅人,需要标签,通衢,无需特殊家具,—
需求对照,文人,需要标签,静修,屏风+远离大堂,无则离场扣钱
需求对照,侠客,需要标签,兵器,兵器架,无则不满扣分
经济,起始银两,值,150,够买 2-3 件家具 + 1 次小扩建,[PLACEHOLDER]
经济,房费基准,值,10/夜,普通房每晚,[PLACEHOLDER]
经济,餐饮单价,值,8/客,需灶台+桌椅才可售,[PLACEHOLDER]
经济,扩建成本,值,80,扩一格区域（示例）,[PLACEHOLDER]
经济,日固定支出,值,0,demo 无员工故无工资,[基准]
空间节奏,网格大小,值,8×8,摆满约 6-8 件,[PLACEHOLDER]
空间节奏,单局时长,值,5-8分钟/天,连跑 2-3 天看曲线,[PLACEHOLDER]
空间节奏,每日客流量,值,8-12人,错峰到达避免瞬间爆满,[PLACEHOLDER]
